40000,10,40,2666,2666,20,20,3,50,95,489876,0,110,-110,2,200,100,1000,62,2547,405,2142,25,30,125710,52910,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,516312,1,110,-110,2,200,100,1000,62,2916,420,2496,25,29,135279,58662,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,505098,2,110,-110,2,200,100,1000,62,2338,422,1916,25,31,131624,52746,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,534514,3,110,-110,2,200,100,1000,62,2157,411,1746,25,32,137715,53311,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,500929,4,110,-110,2,200,100,1000,62,2546,413,2133,25,30,121063,54985,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,476326,5,110,-110,2,200,100,1000,62,2321,406,1915,25,31,125305,56707,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,485137,6,110,-110,2,200,100,1000,62,2078,417,1661,25,32,124512,54188,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,483902,7,110,-110,2,200,100,1000,62,2675,427,2248,25,32,131396,58399,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,483140,8,110,-110,2,200,100,1000,62,2374,427,1947,25,32,127229,53143,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,485726,9,110,-110,2,200,100,1000,62,2145,399,1746,25,31,125303,53314,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,484274,10,110,-110,2,200,100,1000,62,2294,418,1876,25,31,132085,55668,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,487458,11,110,-110,2,200,100,1000,62,2579,412,2167,25,31,120401,55900,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,490325,12,110,-110,2,200,100,1000,62,2779,391,2388,25,29,121876,60904,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,482523,13,110,-110,2,200,100,1000,62,1965,422,1543,25,31,123203,54191,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,481564,14,110,-110,2,200,100,1000,62,2742,379,2363,25,28,129404,58775,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,472983,15,110,-110,2,200,100,1000,62,2594,404,2190,25,29,129091,55119,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,478932,16,110,-110,2,200,100,1000,62,2822,378,2444,25,27,119838,53049,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,483305,17,110,-110,2,200,100,1000,62,2624,386,2238,25,29,124716,52183,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,491051,18,110,-110,2,200,100,1000,62,2037,407,1630,25,31,119420,58449,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,492107,19,110,-110,2,200,100,1000,62,2564,394,2170,25,29,136041,52869,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,489767,20,110,-110,2,200,100,1000,62,2666,407,2259,25,29,135243,60929,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,599385,21,110,-110,2,200,100,1000,62,2330,405,1925,25,31,129870,55268,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,547816,22,110,-110,2,200,100,1000,62,2589,434,2155,25,32,133397,72363,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,494230,23,110,-110,2,200,100,1000,62,2778,408,2370,25,30,135874,51530,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,504584,24,110,-110,2,200,100,1000,62,2299,406,1893,25,30,127454,56293,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,505485,25,110,-110,2,200,100,1000,62,2813,411,2402,25,29,137630,54754,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,500467,26,110,-110,2,200,100,1000,62,2151,426,1725,25,32,123551,54539,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,480002,27,110,-110,2,200,100,1000,62,2149,428,1721,25,31,120937,58374,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,504198,28,110,-110,2,200,100,1000,62,2566,402,2164,25,30,138169,54782,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,557530,29,110,-110,2,200,100,1000,62,2715,389,2326,25,28,140102,60921,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,486825,30,110,-110,2,200,100,1000,62,2103,401,1702,25,30,130632,58117,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,565178,31,110,-110,2,200,100,1000,62,2848,406,2442,25,30,140379,65868,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,566025,32,110,-110,2,200,100,1000,62,2833,405,2428,25,30,147532,54599,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,548374,33,110,-110,2,200,100,1000,62,1803,412,1391,25,32,136638,64310,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,645428,34,110,-110,2,200,100,1000,62,2497,380,2117,25,28,144455,58741,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,503605,35,110,-110,2,200,100,1000,62,2156,416,1740,25,32,126700,61378,200,200,50,10,500,1000
40000,10,40,2666,2666,20,20,3,50,95,519275,36,110,-110,2,200,100,1000,62,2761,423,2338,25,31,229307,63448,200,200,50,10,500,1000
